bead_id,captured_at_utc,exit_code,outcome,duration_ms,model,agent,trace_events,trace_bytes,dir_bytes,timeout_reason,pruned,stderr_oom,stderr_signal
bf-10j6i,2026-09-02T01:22:34.436083987Z,1,failure,337813,glm-4.7,claude-code-glm-4.7,29,7743,592200,,False,,
bf-10jhaa,2026-08-26T21:10:44.580465004Z,0,success,62212,glm-4.7,claude-code-glm-4.7,23,7396,929240,,False,,
bf-115a60,2026-08-27T00:53:10.293204869Z,0,success,52202,glm-4.7,claude-code-glm-4.7,41,10524,708685,,False,,
bf-12ad85,2026-08-26T20:26:54.934249232Z,0,success,6231,glm-4.7,claude-code-glm-4.7,1,136,170509,,False,,
bf-12gb0r,2026-08-26T22:54:48.545998561Z,-1,crash,108661,glm-4.7,claude-code-glm-4.7,94,34495,3118583,,False,,
bf-12rm6,2026-09-02T03:45:23.930213194Z,1,failure,682629,glm-4.7,claude-code-glm-4.7,60,24165,1936868,,False,,
bf-12yvry,2026-08-17T02:10:02.593686552Z,0,success,109098,glm-4.7,claude-code-glm-4.7,40,10573,903971,,False,,
bf-148215,2026-08-27T02:00:30.857434670Z,0,success,56869,glm-4.7,claude-code-glm-4.7,19,5269,761264,,False,,
bf-14ydo,2026-09-02T08:08:20.703692528Z,0,success,147941,glm-4.7,claude-code-glm-4.7,62,20229,1396335,,False,,
bf-15jugw,2026-08-26T17:56:50.077746355Z,0,success,89008,glm-4.7,claude-code-glm-4.7,39,16080,1316926,,False,,
bf-15k67,2026-09-02T04:15:10.910182724Z,0,success,547718,glm-4.7,claude-code-glm-4.7,60,27444,2454968,,False,,
bf-16vm4m,2026-09-01T14:27:05.225399119Z,0,success,145788,glm-4.7,claude-code-glm-4.7,31,9644,984382,,False,,
bf-16vmg,2026-08-26T13:40:28.584955515Z,0,success,8467,glm-4.7,claude-code-glm-4.7,1,121,158694,,False,,
bf-173o7e,2026-08-17T17:06:59.953876423Z,1,failure,444317,glm-4.7,claude-code-glm-4.7,72,21570,1588962,,False,,
