attempt	outcome	exit_code	dispatch_utc	needle_classified_utc	duration_ms	transcript_last_event_utc	kill_gap_s	lines	bytes	sha256	archive_path
1	crash	-1	2026-08-12T17:50:23.059066965Z	2026-08-12T17:53:53.875700862Z	210461	2026-08-12T17:53:38.489Z	15.3867	101	306033	54cf81974c58f78a0752a111971fdc7071b969d6b6b8fbc69a50070616c1f798	e0be4878-8356-46ee-a56c-98133ea734d3.jsonl
2	failure	1	2026-08-12T17:54:05.170737296Z	2026-08-12T18:00:17.683516594Z	372316	2026-08-12T18:00:17.472Z	0.211516	166	331450	8d3b9e455561fe75012d1f52b1fb2f5950c6b963d4132266a094f586a2714a3f	efbc66d2-a476-4ef8-92bb-a82c2ca15e06.jsonl
3	crash	-1	2026-08-12T18:00:26.713957552Z	2026-08-12T18:03:30.710074412Z	183809	2026-08-12T18:03:17.481Z	13.229074	68	222450	5f78c40a1ea1dde25fe23e57fcb1d111667e100cbfd10b6e20e3b6babaed6822	16191bab-36d4-40fd-9a0a-cbd653638ad9.jsonl
4	crash	-1	2026-08-12T18:03:41.946811610Z	2026-08-12T18:06:05.303195619Z	143119	2026-08-12T18:05:49.027Z	16.276195	74	299372	889b9b31a4f6fb4bc6ab9586113c0def6269a292e4bed9a96af484f4edd19317	3805c51c-03fc-4efb-a71a-b52593b3d8e8.jsonl
5	crash	-1	2026-08-12T18:06:16.093308109Z	2026-08-12T18:11:59.571625601Z	343203	2026-08-12T18:11:46.960Z	12.611625	152	304274	47612a505dc0921a91d763ba2974652f7deddfe09d1dfd41033c42ed9c7f3f17	179dadfa-1602-4ea2-859f-2dec105daf19.jsonl
6	crash	-1	2026-08-12T18:12:08.614187531Z	2026-08-12T18:14:43.825677956Z	155046	2026-08-12T18:14:31.756Z	12.069677	88	236833	66e5d9c190ff4770c16fb1f0f4a58f7bad0134f61117950e344691e65a44b1dd	09fe5ae7-ad83-4e6b-ae44-a2cb03c7a53b.jsonl
7	crash	-1	2026-08-12T18:14:52.957493601Z	2026-08-12T18:18:13.430352388Z	200235	2026-08-12T18:17:56.380Z	17.050352	81	232354	66dec230ce90ac65bba84b1b5728a35bf57791c24a46219d83d0de992d24fe2b	e20408f9-d27b-4608-b587-1c02e84dcb11.jsonl
8	crash	-1	2026-08-12T18:18:26.199723757Z	2026-08-12T18:19:44.011817415Z	77617	2026-08-12T18:19:31.778Z	12.233817	83	240988	3c3e9746e76babe95e18690ae26d02645b6f6c8707f84ef470daf01e6a870cb4	2e8cd8bf-bd84-41f6-9d31-412ccbbaf70a.jsonl
9	crash	-1	2026-08-12T18:19:53.106339394Z	2026-08-12T18:22:09.786252003Z	136487	2026-08-12T18:21:56.500Z	13.286252	74	259451	2cd57ac818c650825afed07527236ca4aae1118d4f1f7effd8aa120f34707a95	d45a7849-67f5-4f6e-83e4-97ccffe00b98.jsonl
10	crash	-1	2026-08-12T18:22:19.407690201Z	2026-08-12T18:25:21.962995289Z	182278	2026-08-12T18:25:06.119Z	15.843995	120	279087	a49e274472590a6603e6015c3c586f93eaf880cc1b6c171b5e9c194e818735fd	8aaba38b-fe9f-4975-beac-5ccccec9c03b.jsonl
11	crash	-1	2026-08-12T18:25:33.056515479Z	2026-08-12T18:26:56.097080496Z	82872	2026-08-12T18:26:42.390Z	13.70708	81	313078	6c818eddc24dd45c60bb07d20764e39cc6f45924409676dee91deaa69d5079dc	ee7fc98f-be25-42a4-9c21-8851e333951c.jsonl
12	crash	-1	2026-08-12T18:27:06.322351306Z	2026-08-12T18:28:32.311409035Z	85767	2026-08-12T18:28:32.122Z	0.189409	51	241065	2c175a31a385481822cdc20fd514c2b0ba78ea08ddf9a0bed5d4dde0d4d45757	1209a0e6-e33c-4500-acb9-df52219acebb.jsonl
13	crash	-1	2026-08-12T18:28:41.237187346Z	2026-08-12T18:34:00.295962486Z	318735	2026-08-12T18:33:46.826Z	13.469962	154	313431	2ad32437412a02d0b776981c9358180c62d65f4cf9721cd4779c277096a2049c	30848afc-c35a-4095-bf12-1775ec63b149.jsonl
14	crash	-1	2026-08-12T18:34:11.063276874Z	2026-08-12T18:38:03.981651571Z	232516	2026-08-12T18:37:40.691Z	23.290651	107	304402	fe0acd87d989576fdc46def0d2fca83eb7d8ca54e8ef13682094a92e2431ffb0	843eb4f3-999f-454a-b76b-9a4986d479a6.jsonl
15	crash	-1	2026-08-12T18:38:18.179214177Z	2026-08-12T18:41:23.839477067Z	185461	2026-08-12T18:41:10.636Z	13.203477	87	238395	6a866cd454aa0022bef38f49d72fab5caa2f53682895a13c921746fd0fe61134	0e478db4-0cfd-4737-8991-b95d3f61789c.jsonl
16	crash	-1	2026-08-12T18:41:33.503343055Z	2026-08-12T18:43:18.976745477Z	105244	2026-08-12T18:43:01.894Z	17.082745	78	227978	4944ba44e0b4097478d97b292d4d226ed485588b6a61aad042135000e874c75f	27bd00f1-c4f8-434b-a0d6-5c76f1d9b21d.jsonl
17	crash	-1	2026-08-12T18:43:31.007386163Z	2026-08-12T18:49:45.806797192Z	374492	2026-08-12T18:49:28.503Z	17.303797	148	339832	c4cc5285c68be13627c55dca9cf9b2a6b2d7bd4865db3257035a5e8a57ca8f6d	db71a894-1272-4e41-b468-7ef355a6c1c1.jsonl
18	crash	-1	2026-08-12T18:49:55.778441001Z	2026-08-12T18:52:01.838576071Z	125798	2026-08-12T18:51:44.069Z	17.769576	77	279835	1223a91d8c2757a1779903d515785f7b9426a75cb7095df48bf03bcdacc81dfc	acd737ef-245c-4a0e-ba6a-3b0986d051bd.jsonl
19	crash	-1	2026-08-12T18:52:14.710440043Z	2026-08-12T18:54:12.740396141Z	117824	2026-08-12T18:53:59.246Z	13.494396	65	258597	a592d6df3d45b5db0f174ff3f48d3c31d3f26057cb93a96bf28de467f77bcb55	a83af797-8c88-4474-9639-ed0aade1537c.jsonl
20	crash	-1	2026-08-12T18:54:21.909720103Z	2026-08-12T18:56:13.176464550Z	111016	2026-08-12T18:55:59.914Z	13.262464	70	260607	322ab7f2c3c8de8ec21a9852703fe40bd95e95f97d2175cc6c286056070276a1	6308b8ca-3b54-41d6-b926-924d2b9dd23e.jsonl
21	crash	-1	2026-08-12T18:56:22.499836190Z	2026-08-12T18:58:57.531917705Z	154822	2026-08-12T18:58:44.497Z	13.034917	95	243818	259cd037e2f08d2f893a0ed74d114ce0cfd7b0f7ed2cafe27c7a22a5dda3b69b	81c866db-cdfb-4045-b731-e2faabfdfcec.jsonl
22	crash	-1	2026-08-12T18:59:08.080659805Z	2026-08-12T19:02:20.135467572Z	191729	2026-08-12T19:02:04.795Z	15.340467	91	283714	9c42928942fbb0246e5184b1bfcb71b639a83315763f36f6a4c2b874f96a8762	6267e909-d9db-4000-b69a-366e4168eb53.jsonl
23	crash	-1	2026-08-12T19:02:31.933174148Z	2026-08-12T19:04:05.473777831Z	93246	2026-08-12T19:03:50.595Z	14.878777	57	288675	8e5d852316eb96127e44462c18bed1a1b2d7aa2802d6699d84a84ba6f7eaecaa	9717188e-0ab3-48a3-ba80-c5bb87e8bedb.jsonl
24	crash	-1	2026-08-12T19:04:16.872406027Z	2026-08-12T19:05:38.406108577Z	81317	2026-08-12T19:05:22.137Z	16.269108	60	206142	007e6e5f9b98fa00210e50e62d9c90caa73592516db750324e7c4979715300ad	04a0d482-6ef6-4676-a821-04c47cc7002b.jsonl
25	crash	-1	2026-08-12T19:05:50.550325907Z	2026-08-12T19:07:48.522822951Z	117739	2026-08-12T19:07:34.790Z	13.732822	72	308455	9d28605f21b13cf6e05c9b26a279c24b3a387165cf7309b34bf6c102d9ad6619	bdc9566f-a995-4061-b54e-296b8520ea76.jsonl
26	crash	-1	2026-08-12T19:07:58.384305289Z	2026-08-12T19:11:23.767241899Z	205186	2026-08-12T19:11:10.487Z	13.280241	95	287002	d290b558fae9153ec44cc8e801ad90bfd5768eda6a49b73c9ab9117c60dda60e	01fc154c-308f-43f7-b2f6-119ea4c44563.jsonl
27	crash	-1	2026-08-12T19:11:34.046698802Z	2026-08-12T19:13:28.518923931Z	114263	2026-08-12T19:13:14.596Z	13.922923	48	199958	061f3ab8ced1b1a4a91e9aecf685423a784561128a68f4debf6ceddaf768fe6a	11f7a7fa-6eb5-47c1-99c1-ed02edb0a78f.jsonl
28	crash	-1	2026-08-12T19:13:38.793982825Z	2026-08-12T19:15:55.126973041Z	136068	2026-08-12T19:15:41.646Z	13.480973	53	236428	05e47f9d0a347e36d38c62b0b3452ab09ce0cddc43e95120e0b2222583a92a72	eaa5368d-7887-4881-99b4-f48820ab9f63.jsonl
29	crash	-1	2026-08-12T19:16:10.398521628Z	2026-08-12T19:21:05.984476127Z	295386	2026-08-12T19:20:53.443Z	12.541476	100	257827	e4920841ac1a637368fd90db19ee6a661cb34a63cd77ec13428cd28cb64185bc	5e229930-73f9-43e7-9820-2c31323baf98.jsonl
30	crash	-1	2026-08-12T19:21:15.548743445Z	2026-08-12T19:24:52.238505644Z	216431	2026-08-12T19:24:37.459Z	14.779505	86	243684	4c90c3b4e911812c87c47ab73a68f569d721196d74989afa24770e7613a9f726	b7917df7-f9a2-476b-b5e3-ab7ad24da4e9.jsonl
31	crash	-1	2026-08-12T19:25:03.154380606Z	2026-08-12T19:29:19.580181890Z	256121	2026-08-12T19:29:06.231Z	13.349181	143	375463	fabb11cebb6a10438bdf3ee1d484ede032da07ceea7f90f96a6fd6049d3e0342	c5259943-3a33-4db6-9dd0-6e53a71a3908.jsonl
32	crash	-1	2026-08-12T19:29:30.365294372Z	2026-08-12T19:31:12.646321954Z	101964	2026-08-12T19:30:53.826Z	18.820321	48	238962	f26406c6c78c637e942020c202e19dbcd5b8906936c69f01b814ee60046ded0b	20333ab5-05ec-47d4-b412-da38cba4f4ff.jsonl
33	crash	-1	2026-08-12T19:31:29.157684045Z	2026-08-12T19:35:48.434606874Z	258763	2026-08-12T19:35:27.327Z	21.107606	142	303291	995fe7adc0c3ed7b28bc3050e42311df3b9cd47a2f9776017d96e62d055c8978	275e1800-2c3b-4af4-bcf8-53276c3e853f.jsonl
34	crash	-1	2026-08-12T19:36:02.528728149Z	2026-08-12T19:40:05.963334982Z	243116	2026-08-12T19:39:52.939Z	13.024334	172	323783	854abbd172598244ec3d8e0d763de176449b646b9aa57ab0e751c298b1c40385	39a7ab26-e6f4-44b6-87bb-0e03bbe3f36f.jsonl
35	crash	-1	2026-08-12T19:40:21.864996624Z	2026-08-12T19:42:41.509604673Z	139314	2026-08-12T19:42:25.389Z	16.120604	79	269248	6e7d792eed912c5952ae15d8ce651f0b6bd7856dc7bf6a0f65e35fb5c78cd845	2b8aeddb-14e9-40ed-9510-b30aa8d7af8c.jsonl
36	crash	-1	2026-08-12T19:42:54.838973380Z	2026-08-12T19:44:22.893266876Z	87783	2026-08-12T19:44:07.399Z	15.494266	73	230470	ca7a467fd786121780cb6f728e8c9279124d52e239f5b2ddf61e27186eac9d14	809b4cf3-ed96-4cd2-8385-deab7d94b555.jsonl
37	crash	-1	2026-08-12T19:44:33.204820199Z	2026-08-12T19:50:04.302046979Z	330631	2026-08-12T19:49:47.782Z	16.520046	194	371195	411a98f377d43696b034f949b281c88239fecfbee5fad4eebb76b85c0f6b9d4d	602cad06-56f0-4b12-9387-8dd98fb249c8.jsonl
38	crash	-1	2026-08-12T19:50:16.494911785Z	2026-08-12T19:53:23.400921038Z	186706	2026-08-12T19:53:09.673Z	13.727921	87	243505	c8515d6225b032a53b56028ef1c422a8a789a8a74c5450d9d8b29dc9c4f522df	8799d933-6f5a-4b73-b248-5838cebd0f74.jsonl
39	crash	-1	2026-08-12T19:53:34.329704204Z	2026-08-12T19:54:38.951681401Z	64448	2026-08-12T19:54:26.229Z	12.722681	65	213765	a658e12be205779298aae961be6d32258c7badb171e91c8c2b8c1e56a6054074	5495f716-ef99-47de-b414-609c5a77982f.jsonl
40	crash	-1	2026-08-12T19:54:48.913807458Z	2026-08-12T19:58:33.352778400Z	224173	2026-08-12T19:58:21.533Z	11.819778	127	290028	9ecef63cd4ac2d56f5f0b75bb0b1d991e3ff9f43bd03f205d1e8bfe742dffcda	ca30cdab-83f2-403e-b8cc-c75cf341066b.jsonl
41	crash	-1	2026-08-12T19:58:42.553139774Z	2026-08-12T20:04:52.564605117Z	369584	2026-08-12T20:04:38.665Z	13.899605	188	379805	a6bef621398632a346e142daf70e221ea73a37cf5b1bc103b7aaa943388a0086	2e2334a9-e526-4c8e-8322-cc42a981f7f4.jsonl
42	crash	-1	2026-08-12T20:05:02.466824937Z	2026-08-12T20:06:33.824634397Z	91184	2026-08-12T20:06:20.990Z	12.834634	45	237504	145ac366c211fdebf369438647d611bcd433f214dbb9e91d7a98aa4fbf5ffd4c	a698b9f5-c88b-4b94-b9cf-65911ef4140b.jsonl
43	crash	-1	2026-08-12T20:06:43.586995860Z	2026-08-12T20:10:15.288662487Z	211461	2026-08-12T20:10:02.817Z	12.471662	113	348032	023f32016a5e914e3b8dbad8821f28f5beb56b95cf8ad3557c638f69b35e2be1	50a7936b-16dc-4e4f-ab40-f7d90fe994ec.jsonl
44	crash	-1	2026-08-12T20:10:25.718864744Z	2026-08-12T20:12:31.602807875Z	125683	2026-08-12T20:12:18.959Z	12.643807	88	273822	34fa927ab54f250dde08273462583759b54cfa18d90e7fd13f68181b485cd953	b129d90c-f981-449d-98a0-02a15b8d4c5c.jsonl
45	crash	-1	2026-08-12T20:12:42.361365217Z	2026-08-12T20:14:17.489766707Z	94929	2026-08-12T20:14:01.396Z	16.093766	77	310372	d0386120a4c6865d36a7db09e16440e301ea6b2099c763df20017fd6897d23e3	1a696438-32a6-47fe-83f8-e254926ba641.jsonl
