attempt	dispatch_ts	completed_ts	exit	duration_ms	classified_ts	released_ts	release_reason	dispatch_line	completed_line	verification	bead_completed
1	2026-08-13T07:17:49.943659552Z	2026-08-13T07:20:04.017091640Z	-1	133866	2026-08-13T07:20:04.017814557Z	2026-08-13T07:20:11.203595607Z	release_success	2499	2502		
2	2026-08-13T07:20:13.222549159Z	2026-08-13T07:21:45.020811976Z	-1	91627	2026-08-13T07:21:45.021382456Z	2026-08-13T07:21:53.097569195Z	release_success	2527	2530		
3	2026-08-13T07:21:55.231292126Z	2026-08-13T07:23:44.404291612Z	-1	108993	2026-08-13T07:23:44.404907839Z	2026-08-13T07:23:53.160760610Z	release_success	2555	2558		
4	2026-08-13T07:23:55.310507056Z	2026-08-13T07:28:58.040370637Z	-1	302334	2026-08-13T07:28:58.041784177Z	2026-08-13T07:29:09.033964406Z	release_success	2583	2586		
5	2026-08-13T07:29:12.235827111Z	2026-08-13T07:30:53.366589515Z	-1	100944	2026-08-13T07:30:53.367174652Z	2026-08-13T07:31:03.247333303Z	release_success	2612	2615		
6	2026-08-13T07:31:05.860966632Z	2026-08-13T07:33:50.978890878Z	-1	164857	2026-08-13T07:33:50.979513505Z	2026-08-13T07:34:03.300170197Z	release_success	2640	2643		
7	2026-08-13T07:34:06.865209557Z	2026-08-13T07:35:43.792820968Z	-1	96623	2026-08-13T07:35:43.793517792Z	2026-08-13T07:35:52.719513156Z	release_success	2669	2672		
8	2026-08-13T07:35:55.583603591Z	2026-08-13T07:39:16.083006819Z	-1	200189	2026-08-13T07:39:16.083755384Z	2026-08-13T07:39:26.666718587Z	release_success	2697	2700		
9	2026-08-13T07:39:29.218947703Z	2026-08-13T07:41:00.733491730Z	-1	91322	2026-08-13T07:41:00.733980544Z	2026-08-13T07:41:11.087245780Z	release_success	2726	2729		
10	2026-08-13T07:41:13.443025446Z	2026-08-13T07:42:27.773533742Z	-1	74156	2026-08-13T07:42:27.774540799Z	2026-08-13T07:42:36.324844379Z	release_success	2755	2758		
11	2026-08-13T07:42:39.119296522Z	2026-08-13T07:44:48.864000094Z	-1	129539	2026-08-13T07:44:48.864688706Z	2026-08-13T07:44:55.875289262Z	release_success	2783	2786		
12	2026-08-13T07:44:57.798735787Z	2026-08-13T07:46:21.265900018Z	-1	83342	2026-08-13T07:46:21.266293290Z	2026-08-13T07:46:28.787297835Z	release_success	2811	2814		
13	2026-08-13T07:46:31.000689413Z	2026-08-13T07:48:15.372198443Z	-1	104163	2026-08-13T07:48:15.372846136Z	2026-08-13T07:48:22.808763138Z	release_success	2839	2842		
14	2026-08-13T07:48:25.019398504Z	2026-08-13T07:50:20.379557867Z	-1	115188	2026-08-13T07:50:20.380315023Z	2026-08-13T07:50:27.848853899Z	release_success	2867	2870		
15	2026-08-13T07:50:29.816870368Z	2026-08-13T07:52:39.323271014Z	-1	129280	2026-08-13T07:52:39.324005501Z	2026-08-13T07:52:51.725257465Z	release_success	2895	2898		
