attempt	claim_ts_Z	claim_ln	dispatch_ts_Z	kill_ts_Z	exit_code	duration_ms	outcome	released_ts_Z	handled_ts_Z	handled_action	alert_bead	alert_stamp_s_after_kill	alert_status
1	2026-08-13T13:35:34.306466116Z	5766	2026-08-13T13:35:34.329254500Z	2026-08-13T13:37:24.838573229Z	-1	110309	crash	2026-08-13T13:37:37.298394216Z	2026-08-13T13:37:37.298403916Z	alerted	bf-3b3b8	9.4	closed
2	2026-08-13T13:37:40.426903182Z	5795	2026-08-13T13:37:40.436430055Z	2026-08-13T13:40:42.229411658Z	-1	181311	crash	2026-08-13T13:40:58.974547763Z	2026-08-13T13:40:58.974552563Z	alerted	bf-30imq	14.5	open
3	2026-08-13T13:41:01.413266804Z	5825	2026-08-13T13:41:01.425374652Z	2026-08-13T13:44:10.765460955Z	-1	189109	crash	2026-08-13T13:44:23.231847393Z	2026-08-13T13:44:23.231853163Z	alerted	bf-1wkda	9.4	open
4	2026-08-13T13:44:25.955739336Z	5854	2026-08-13T13:44:25.966444143Z	2026-08-13T13:47:26.104181136Z	-1	179886	crash	2026-08-13T13:47:38.272500035Z	2026-08-13T13:47:38.272505315Z	alerted	bf-saupc	9.6	closed
5	2026-08-13T13:47:41.108448565Z	5883	2026-08-13T13:47:41.120668035Z	2026-08-13T13:51:50.056173144Z	-1	248701	crash	2026-08-13T13:52:02.189431206Z	2026-08-13T13:52:02.189436796Z	alerted	bf-j55rs	9.1	closed
6	2026-08-13T13:52:05.077447398Z	5912	2026-08-13T13:52:05.087541257Z	2026-08-13T13:53:55.493774788Z	-1	110158	crash	2026-08-13T13:54:11.572616511Z	2026-08-13T13:54:11.572624734Z	alerted	bf-1fy2x	13.3	closed
7	2026-08-13T13:54:14.598589744Z	5942	2026-08-13T13:54:14.610550695Z	2026-08-13T13:55:53.161596632Z	-1	98314	crash	2026-08-13T13:56:03.606908235Z	2026-08-13T13:56:03.606915746Z	alerted	bf-61x9pu	7.7	closed
8	2026-08-13T13:56:06.553457912Z	5971	2026-08-13T13:56:06.570542598Z	2026-08-13T13:59:04.959409903Z	-1	178132	crash	2026-08-13T13:59:17.544856005Z	2026-08-13T13:59:17.544861420Z	alerted	bf-2jr310	9.8	closed
9	2026-08-13T13:59:20.075497321Z	6000	2026-08-13T13:59:20.086391833Z	2026-08-13T14:04:19.511083616Z	-1	299075	crash	2026-08-13T14:04:35.872989834Z	2026-08-13T14:04:35.872998089Z	alerted	bf-6bio4g	12.6	closed
10	2026-08-13T14:04:39.783556342Z	6030	2026-08-13T14:04:39.804370316Z	2026-08-13T14:08:08.986786352Z	-1	208787	crash	2026-08-13T14:08:25.585886545Z	2026-08-13T14:08:25.585899468Z	alerted	bf-2hkzlz	12.6	closed
11	2026-08-13T14:08:29.373592145Z	6060	2026-08-13T14:08:29.396219066Z	2026-08-13T14:11:17.061866755Z	-1	167408	crash	2026-08-13T14:11:29.649119855Z	2026-08-13T14:11:29.649129307Z	alerted	bf-4gbj90	10.0	closed
12	2026-08-13T14:11:32.644388692Z	6089	2026-08-13T14:11:32.654624298Z	2026-08-13T14:14:25.489500665Z	-1	172570	crash	2026-08-13T14:14:39.947419728Z	2026-08-13T14:14:39.947425365Z	alerted	bf-5od63y	11.4	closed
13	2026-08-13T14:14:42.589621789Z	6118	2026-08-13T14:14:42.601481702Z	2026-08-13T14:19:21.991310932Z	-1	279046	crash	2026-08-13T14:19:43.880991724Z	2026-08-13T14:19:43.881004608Z	alerted	bf-2purtf	15.7	closed
14	2026-08-13T14:19:47.967617626Z	6149	2026-08-13T14:19:47.978298850Z	2026-08-13T14:23:27.337348478Z	-1	219159	crash	2026-08-13T14:23:39.868711399Z	2026-08-13T14:23:39.868717268Z	alerted	bf-1vwnap	9.2	closed
15	2026-08-13T14:23:44.598603028Z	6177	2026-08-13T14:23:44.610282388Z	2026-08-13T14:26:10.149320693Z	-1	145190	crash	2026-08-13T14:26:39.748315594Z	2026-08-13T14:26:39.748326168Z	alerted	bf-15jugw	25.4	closed
16	2026-08-13T14:26:47.814227283Z	6209	2026-08-13T14:26:47.892935381Z	2026-08-13T14:30:14.087976697Z	-1	205945	crash	2026-08-13T14:30:31.799682880Z	2026-08-13T14:30:31.799687923Z	alerted	bf-2uo5sa	14.7	open
17	2026-08-13T14:30:34.446560064Z	6239	2026-08-13T14:30:34.460516075Z	2026-08-13T14:35:07.365780823Z	-1	272689	crash	2026-08-13T14:35:24.934401483Z	2026-08-13T14:35:24.934406272Z	alerted	bf-yaaljy	14.7	closed
18	2026-08-13T14:35:27.506830700Z	6269	2026-08-13T14:35:27.518241852Z	2026-08-13T14:38:05.069298023Z	-1	157339	crash	2026-08-13T14:38:21.440373862Z	2026-08-13T14:38:21.440379693Z	alerted	bf-4q1bda	13.6	in_progress
19	2026-08-13T14:38:24.455725579Z	6299	2026-08-13T14:38:24.465278148Z	2026-08-13T14:40:29.551762239Z	-1	124759	crash	2026-08-13T14:40:46.615684833Z	2026-08-13T14:40:46.615695043Z	alerted	bf-66sw7c	13.1	open
20	2026-08-13T14:40:50.173609236Z	6329	2026-08-13T14:40:50.192813843Z	2026-08-13T14:43:41.075187958Z	-1	170678	crash	2026-08-13T14:43:59.650911212Z	2026-08-13T14:43:59.650932900Z	alerted	bf-26r8bi	15.3	closed
21	2026-08-13T14:44:04.752397398Z	6359	2026-08-13T14:44:04.764005129Z	2026-08-13T14:47:50.804278232Z	-1	225774	crash	2026-08-13T14:48:15.909880813Z	2026-08-13T14:48:15.909888218Z	alerted	bf-2r8piw	21.0	closed
22	2026-08-13T14:48:19.451683072Z	6391	2026-08-13T14:48:19.468477947Z	2026-08-13T14:52:04.384350849Z	-1	224648	crash	2026-08-13T14:52:31.895132333Z	2026-08-13T14:52:31.895142510Z	alerted	bf-435w94	24.7	in_progress
23	2026-08-13T14:52:34.975736941Z	6423	2026-08-13T14:52:34.988085730Z	2026-08-13T14:56:04.940969506Z	-1	209690	crash	2026-08-13T14:56:22.475257899Z	2026-08-13T14:56:22.475267391Z	alerted	bf-6abtsq	10.6	closed
24	2026-08-13T14:56:25.959852428Z	6453	2026-08-13T14:56:25.971717149Z	2026-08-13T15:01:35.775155479Z	-1	309461	crash	2026-08-13T15:01:55.708950269Z	2026-08-13T15:01:55.708980866Z	alerted	bf-z15pix	16.7	open
25	2026-08-13T15:01:59.067065373Z	6483	2026-08-13T15:01:59.083718450Z	2026-08-13T15:06:41.327770411Z	-1	281584	crash	2026-08-13T15:07:10.792286134Z	2026-08-13T15:07:10.792302115Z	alerted	bf-p4x351	25.0	closed
26	2026-08-13T15:07:14.272274949Z	6515	2026-08-13T15:07:14.286045263Z	2026-08-13T15:10:39.521625344Z	-1	204928	crash	2026-08-13T15:11:04.793867097Z	2026-08-13T15:11:04.793875549Z	alerted	bf-4fvi9h	10.5	open
27	2026-08-13T15:11:11.141377540Z	6547	2026-08-13T15:11:11.155390153Z	2026-08-13T15:13:50.923175315Z	-1	159248	crash	2026-08-13T15:14:24.532804407Z	2026-08-13T15:14:24.532816462Z	alerted	bf-30q2d1	29.4	closed
28	2026-08-13T15:14:29.129206816Z	6580	2026-08-13T15:14:29.158720371Z	2026-08-13T15:19:15.187434798Z	-1	285610	crash	2026-08-13T15:19:30.720266092Z	2026-08-13T15:19:30.722464796Z	alerted	bf-58wvse	12.1	closed
