alert_bead	created_Z	bead_carried_crash_stamp_Z	bead_carried_exit_code	status_now
bf-3b3b8	2026-08-13T13:37:34.246205920Z	2026-08-13T13:37:34.239567750+00:00	-1	closed
bf-30imq	2026-08-13T13:40:56.694081207Z	2026-08-13T13:40:56.687394668+00:00	-1	open
bf-1wkda	2026-08-13T13:44:20.132087257Z	2026-08-13T13:44:20.126216028+00:00	-1	open
bf-saupc	2026-08-13T13:47:35.665118861Z	2026-08-13T13:47:35.659692769+00:00	-1	closed
bf-j55rs	2026-08-13T13:51:59.159765553Z	2026-08-13T13:51:59.153198035+00:00	-1	closed
bf-1fy2x	2026-08-13T13:54:08.789120762Z	2026-08-13T13:54:08.783482627+00:00	-1	closed
bf-61x9pu	2026-08-13T13:56:00.830160699Z	2026-08-13T13:56:00.823744320+00:00	-1	closed
bf-2jr310	2026-08-13T13:59:14.765157998Z	2026-08-13T13:59:14.759263664+00:00	-1	closed
bf-6bio4g	2026-08-13T14:04:32.099798402Z	2026-08-13T14:04:32.088010244+00:00	-1	closed
bf-2hkzlz	2026-08-13T14:08:21.557004486Z	2026-08-13T14:08:21.541859545+00:00	-1	closed
bf-4gbj90	2026-08-13T14:11:27.071687696Z	2026-08-13T14:11:27.061416716+00:00	-1	closed
bf-5od63y	2026-08-13T14:14:36.846587520Z	2026-08-13T14:14:36.834170293+00:00	-1	closed
bf-2purtf	2026-08-13T14:19:37.662151381Z	2026-08-13T14:19:37.650863588+00:00	-1	closed
bf-1vwnap	2026-08-13T14:23:36.539714985Z	2026-08-13T14:23:36.532434428+00:00	-1	closed
bf-15jugw	2026-08-13T14:26:35.519810842Z	2026-08-13T14:26:35.248117608+00:00	-1	closed
bf-2uo5sa	2026-08-13T14:30:28.836761210Z	2026-08-13T14:30:28.829985008+00:00	-1	open
bf-yaaljy	2026-08-13T14:35:22.097576861Z	2026-08-13T14:35:22.091147832+00:00	-1	closed
bf-4q1bda	2026-08-13T14:38:18.678166704Z	2026-08-13T14:38:18.671743661+00:00	-1	in_progress
bf-66sw7c	2026-08-13T14:40:42.642439194Z	2026-08-13T14:40:42.628685942+00:00	-1	open
bf-26r8bi	2026-08-13T14:43:56.372923908Z	2026-08-13T14:43:56.366590252+00:00	-1	closed
bf-2r8piw	2026-08-13T14:48:11.792273430Z	2026-08-13T14:48:11.774508037+00:00	-1	closed
bf-435w94	2026-08-13T14:52:29.126354952Z	2026-08-13T14:52:29.119868581+00:00	-1	in_progress
bf-6abtsq	2026-08-13T14:56:15.575355441Z	2026-08-13T14:56:15.567371565+00:00	-1	closed
bf-z15pix	2026-08-13T15:01:52.460527407Z	2026-08-13T15:01:52.450373520+00:00	-1	open
bf-p4x351	2026-08-13T15:07:06.299018212Z	2026-08-13T15:07:06.289464481+00:00	-1	closed
bf-4fvi9h	2026-08-13T15:10:49.983676920Z	2026-08-13T15:10:49.976181720+00:00	-1	open
bf-30q2d1	2026-08-13T15:14:20.293503730Z	2026-08-13T15:14:20.280531704+00:00	-1	closed
bf-58wvse	2026-08-13T15:19:27.255035746Z	2026-08-13T15:19:27.246281230+00:00	-1	closed
bf-37w3zc	2026-08-13T15:24:30.064389663Z	2026-08-13T15:24:30.054783861+00:00	-1	closed
bf-35ajx2	2026-08-13T15:27:36.222810913Z	2026-08-13T15:27:36.214524752+00:00	-1	in_progress
bf-ju4z9d	2026-08-13T15:30:35.192754694Z	2026-08-13T15:30:35.149474007+00:00	-1	closed
bf-4uu13k	2026-08-13T15:33:17.250536705Z	2026-08-13T15:33:17.243028881+00:00	-1	closed
bf-o6vbwl	2026-08-13T15:36:14.423654974Z	2026-08-13T15:36:14.415407055+00:00	-1	open
bf-4brllu	2026-08-13T15:40:50.159333284Z	2026-08-13T15:40:50.152607502+00:00	-1	closed
bf-1mwlsp	2026-08-13T15:45:18.634388463Z	2026-08-13T15:45:18.615770102+00:00	-1	closed
bf-34y0oy	2026-08-13T15:48:19.161701135Z	2026-08-13T15:48:19.155329763+00:00	-1	closed
bf-3homxa	2026-08-13T15:50:34.057099311Z	2026-08-13T15:50:34.049806011+00:00	-1	open
bf-2v8x98	2026-08-13T15:53:41.277343480Z	2026-08-13T15:53:41.266572172+00:00	-1	closed
