source_line	timestamp	event_type	sequence	heartbeat_state	exit_code	outcome
4411	2026-08-14T10:21:06.969922824Z	bead.claim.succeeded	1729			
4413	2026-08-14T10:21:06.971213296Z	build.heartbeat	1731			
4415	2026-08-14T10:21:06.973561768Z	agent.routing_decision	1733			
4419	2026-08-14T10:21:06.973931883Z	agent.routing_decision	1737			
4420	2026-08-14T10:21:06.979830682Z	agent.dispatched	1738			
4421	2026-08-14T10:21:07.000020286Z	transform.started	1739			
4422	2026-08-14T10:23:02.897772215Z	transform.completed	1740			
4423	2026-08-14T10:23:02.958717335Z	agent.completed	1741		-1	
4425	2026-08-14T10:23:02.959245294Z	heartbeat.emitted	1743	HANDLING		
4426	2026-08-14T10:23:02.959692765Z	outcome.classified	1744		-1	crash
4427	2026-08-14T10:23:02.959711472Z	heartbeat.emitted	1745	HANDLING_FLUSH		
4428	2026-08-14T10:23:02.960345070Z	heartbeat.emitted	1746	HANDLING		
4429	2026-08-14T10:23:07.896703800Z	heartbeat.emitted	1747	HANDLING_FLUSH_DONE		
4430	2026-08-14T10:23:07.896711376Z	heartbeat.emitted	1748	HANDLING_RELEASE		
4431	2026-08-14T10:23:07.960822467Z	heartbeat.emitted	1749	HANDLING		
4432	2026-08-14T10:23:11.219506142Z	heartbeat.emitted	1750	HANDLING_RELEASE_DONE		
4433	2026-08-14T10:23:12.960404410Z	heartbeat.emitted	1751	HANDLING		
4434	2026-08-14T10:23:14.244792879Z	bead.released	1752			
4435	2026-08-14T10:23:14.244801795Z	outcome.handled	1753			crash
4436	2026-08-14T10:23:14.244871744Z	heartbeat.emitted	1754	HANDLING_POST_HANDLER		
4440	2026-08-14T10:23:16.800695191Z	bead.claim.succeeded	1758			
4442	2026-08-14T10:23:16.801879189Z	build.heartbeat	1760			
4444	2026-08-14T10:23:16.804932168Z	agent.routing_decision	1762			
4448	2026-08-14T10:23:16.805263276Z	agent.routing_decision	1766			
4449	2026-08-14T10:23:16.810887451Z	agent.dispatched	1767			
4450	2026-08-14T10:23:16.831192012Z	transform.started	1768			
4451	2026-08-14T10:25:01.463124459Z	transform.completed	1769			
4452	2026-08-14T10:25:01.512001992Z	agent.completed	1770		-1	
4454	2026-08-14T10:25:01.515890722Z	heartbeat.emitted	1772	HANDLING		
4455	2026-08-14T10:25:01.515989118Z	outcome.classified	1773		-1	crash
4456	2026-08-14T10:25:01.516068930Z	heartbeat.emitted	1774	HANDLING_FLUSH		
4457	2026-08-14T10:25:01.517165809Z	heartbeat.emitted	1775	HANDLING		
4458	2026-08-14T10:25:06.517247013Z	heartbeat.emitted	1776	HANDLING		
4459	2026-08-14T10:25:07.328109562Z	heartbeat.emitted	1777	HANDLING_FLUSH_DONE		
4460	2026-08-14T10:25:07.328492630Z	heartbeat.emitted	1778	HANDLING_RELEASE		
4461	2026-08-14T10:25:11.517161117Z	heartbeat.emitted	1779	HANDLING		
4462	2026-08-14T10:25:16.517122957Z	heartbeat.emitted	1780	HANDLING		
4463	2026-08-14T10:25:21.517789506Z	heartbeat.emitted	1781	HANDLING		
4464	2026-08-14T10:25:26.517154571Z	heartbeat.emitted	1782	HANDLING		
4465	2026-08-14T10:25:30.457670958Z	heartbeat.emitted	1783	HANDLING_RELEASE_DONE		
4466	2026-08-14T10:25:31.517195220Z	heartbeat.emitted	1784	HANDLING		
4467	2026-08-14T10:25:35.068944246Z	bead.released	1785			
4468	2026-08-14T10:25:35.068951279Z	outcome.handled	1786			crash
4469	2026-08-14T10:25:35.069005426Z	heartbeat.emitted	1787	HANDLING_POST_HANDLER		
4473	2026-08-14T10:25:41.457578181Z	bead.claim.succeeded	1791			
